Identificador de Simulacion,Numero de Agentes Deseados,Numero de Agentes Creados,Numero de Cajas,Coordenada x de Zona de Descarga,Coordenada y de Zona de Descarga,Coordenada z de Zona de Descarga,Coordenada x de Zona de Recoleccion,Coordenada y de Zona de Recoleccion,Coordenada z de Zona de Recoleccion,Distancia Minima entre Agentes,Tiempo Total de Simulacion
0,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,30,0:01:41.263656
1,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,35,0:01:39.215531
2,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,40,0:01:39.513247
3,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,45,0:01:44.231802
4,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,50,0:01:45.560838
5,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,55,0:01:41.761779
6,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,60,0:01:39.053770
7,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,65,0:01:38.237594
8,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,70,0:01:38.838185
9,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,75,0:01:41.975074
10,10,10,25,-160.0,0.0,-160.0,160.0,0.0,160.0,80,0:01:43.884066
